efta_number,dataset,extension,category,file_size_bytes,file_size_mb,doj_pdf_link,has_audio,has_transcript,transcript_word_count,duration_seconds,video_resolution,brief_description
EFTA01600799,10,m4v,video,10031,0.01,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600799.pdf,True,yes,0,0.5,608x1080,Video (no speech detected); 608x1080; 0s
EFTA01600800,10,m4v,video,10031,0.01,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600800.pdf,True,yes,0,0.5,608x1080,Video (no speech detected); 608x1080; 0s
EFTA01600801,10,mov,video,1068801,1.02,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600801.pdf,True,yes,2,7.2,848x480,Video with speech (2 words transcribed); 848x480; 7s
EFTA01600802,10,m4v,video,10031,0.01,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600802.pdf,True,yes,0,0.5,608x1080,Video (no speech detected); 608x1080; 0s
EFTA01600803,10,m4v,video,8864,0.01,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600803.pdf,True,yes,0,0.5,352x640,Video (no speech detected); 352x640; 0s
EFTA01600804,10,m4v,video,8804,0.01,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600804.pdf,True,yes,0,0.5,320x560,Video (no speech detected); 320x560; 0s
EFTA01600805,10,m4v,video,9527,0.01,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600805.pdf,True,yes,0,0.5,480x848,Video (no speech detected); 480x848; 0s
EFTA01600806,10,m4v,video,70645,0.07,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600806.pdf,True,yes,4,1.2,640x640,Video with speech (4 words transcribed); 640x640; 1s
EFTA01600807,10,m4v,video,10031,0.01,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600807.pdf,True,yes,0,0.5,608x1080,Video (no speech detected); 608x1080; 0s
EFTA01600808,10,m4v,video,9527,0.01,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600808.pdf,True,yes,0,0.5,480x848,Video (no speech detected); 480x848; 0s
EFTA01600809,10,m4v,video,28223,0.03,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600809.pdf,True,yes,0,2.3,480x848,Video (no speech detected); 480x848; 2s
EFTA01600810,10,m4v,video,9304,0.01,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600810.pdf,True,yes,0,0.5,720x720,Video (no speech detected); 720x720; 0s
EFTA01600811,10,m4v,video,9527,0.01,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600811.pdf,True,yes,0,0.5,480x848,Video (no speech detected); 480x848; 0s
EFTA01600812,10,m4v,video,36642,0.03,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600812.pdf,True,yes,0,3.0,652x872,Video (no speech detected); 652x872; 3s
